docid,section,sentenceid,subject_text,subject_type,object_text,object_type,relation
12368048,title,1,transplant tolerance,Organism Function,nonhuman primate,Mammal,PROCESS_OF
12641497,abstract,1,proton pump inhibitors,Pharmacologic Substance,rabeprazole,Pharmacologic Substance,COMPARED_WITH
12641497,abstract,1,therapies,Therapeutic or Preventive Procedure,rabeprazole,Pharmacologic Substance,USES
12868543,abstract,10,ranitidine,Pharmacologic Substance,drugs,Pharmacologic Substance,ISA
14534673,title,1,AIDS,Disease or Syndrome,tuberculosis,Disease or Syndrome,COEXISTS_WITH
14627806,abstract,9,alleles,Gene or Genome,cell lines,Cell,PART_OF
14627806,abstract,9,alleles,Gene or Genome,cell lines,Cell,PART_OF
14627806,abstract,9,mitomycin C,Antibiotic,alleles,Gene or Genome,AFFECTS
15323262,title,1,chronic renal disease,Disease or Syndrome,patients,Human,PROCESS_OF
15323262,abstract,9,secondary hyperparathyroidism,Disease or Syndrome,disorders,Disease or Syndrome,CAUSES
15323262,abstract,9,mineral metabolism impairment,Pathologic Function,secondary hyperparathyroidism,Disease or Syndrome,CAUSES
15323262,abstract,9,hypocalemia,Finding,mineral metabolism impairment,Pathologic Function,ISA
15323262,abstract,9,hypocalemia,Finding,secondary hyperparathyroidism,Disease or Syndrome,CAUSES
15473914,title,1,pramipexole,Organic Chemical,dopamine transporter,Gene or Genome,INHIBITS
15473914,title,1,pramipexole,Organic Chemical,D3 receptor,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15473914,title,1,Parkinson's disease,Disease or Syndrome,mouse,Mammal,PROCESS_OF
15473914,title,1,MPTP,Organic Chemical,mouse,Mammal,ADMINISTERED_TO
15473914,title,1,pramipexole,Organic Chemical,Parkinson's disease,Disease or Syndrome,PREVENTS
15499973,abstract,1,Meniere's disease,Disease or Syndrome,patients,Human,PROCESS_OF
15499973,abstract,1,dexamethasone injection,Clinical Drug,patients,Human,TREATS
15499973,abstract,1,dexamethasone injection,Clinical Drug,Meniere's disease,Disease or Syndrome,TREATS
15526143,abstract,2,neuroleptics,Pharmacologic Substance,BDNF,"Amino Acid, Peptide, or Protein",INHIBITS
15592935,title,1,nasal mucosa,Tissue,human,Human,PART_OF
15592935,title,1,allergic,Pathologic Function,human,Human,PROCESS_OF
15592935,title,1,nasal mucosa,Tissue,heme oxygenase,"Amino Acid, Peptide, or Protein",LOCATION_OF
15592935,abstract,10,respiratory epithelium,Tissue,HO-1,"Amino Acid, Peptide, or Protein",LOCATION_OF
15592935,abstract,10,respiratory epithelium,Tissue,nasal,"Body Part, Organ, or Organ Component",PART_OF
15592935,abstract,10,respiratory epithelium,Tissue,group,Human,PART_OF
