docid,section,sentenceid_gold,subject_text_gold,subject_type_gold,object_text_gold,object_type_gold,relation_gold,trigger_text_gold,sub_norm,obj_norm,sentenceid_model,subject_text_model,subject_type_model,object_text_model,object_type_model,relation_model,trigger_text_model,_merge
15623373,abstract,10,tissues,Tissue,cancer,Neoplastic Process,LOCATION_OF,,tissues,cancer,10,tissues,Tissue,cancer,Neoplastic Process,PART_OF,,both
15623373,abstract,10,tissues,Tissue,MMP-2,"Amino Acid, Peptide, or Protein",PRODUCES,expression,tissues,mmp-2,10,tissues,Tissue,MMP-2,Gene or Genome,LOCATION_OF,,both
15623373,abstract,10,tissues,Tissue,VEGF,"Amino Acid, Peptide, or Protein",PRODUCES,expression,tissues,vegf,10,tissues,Tissue,VEGF,"Amino Acid, Peptide, or Protein",LOCATION_OF,,both
15808413,abstract,5,nitrite,Chemical Viewed Structurally,nitrate,Inorganic Chemical,CONVERTS_TO,oxidized,nitrite,nitrate,5,nitrite,Chemical Viewed Structurally,nitrate,Inorganic Chemical,INTERACTS_WITH,,both
15927218,abstract,1,Neurocysticercosis,Disease or Syndrome,neurological disease,Disease or Syndrome,CAUSES,causes,neurocysticercosis,neurological disease,1,Neurocysticercosis,Disease or Syndrome,neurological       disease,Disease or Syndrome,ISA,,both
15993962,abstract,1,implantation,Therapeutic or Preventive Procedure,restenosis,Acquired Abnormality,TREATS,for,implantation,restenosis,1,implantation,Therapeutic or Preventive Procedure,restenosis,Acquired Abnormality,PRECEDES,,both
15996060,title,1,Sex hormone,Hormone,patients,Human,PART_OF,in,sex hormone,patients,1,Sex hormone,Hormone,patients,Patient or Disabled Group,TREATS,,both
15996060,abstract,2,estrogens,Hormone,women,Human,PART_OF,in,estrogens,women,2,estrogens,Pharmacologic Substance,women,Population Group,TREATS,,both
15996060,abstract,10,sex hormones,Human,patients,Hormone,LOCATION_OF,in,sex hormones,patients,10,sex hormones,Hormone,patients,Patient or Disabled Group,TREATS,,both
16080004,abstract,8,safrole,Hazardous or Poisonous Substance,cell proliferation,Cell Function,AFFECTS,alter,safrole,cell proliferation,8,safrole,Organic Chemical,cell       proliferation,Cell Function,AUGMENTS,,both
16080004,abstract,8,safrole,Organic Chemical,cell proliferation,Cell Function,AUGMENTS,increased,safrole,cell proliferation,8,safrole,Hazardous or Poisonous Substance,cell       proliferation,Cell Function,AFFECTS,,both
16141404,abstract,6,SFLLRN,"Amino Acid, Peptide, or Protein",EPC,Cell,AUGMENTS,stimulation,sfllrn,epc,6,SFLLRN,"Amino Acid, Peptide, or Protein",EPC,opco,STIMULATES,,both
16204062,abstract,4,gene amplification,Genetic Function,PKCiota,"Amino Acid, Peptide, or Protein",STIMULATES,drives,gene amplification,pkciota,4,gene       amplification,Genetic Function,PKCiota,Gene or Genome,PROCESS_OF,,both
