docid,section,sentenceid_gold,subject_text_gold,subject_type_gold,object_text_gold,object_type_gold,relation_gold,trigger_text_gold,sub_norm,obj_norm,sentenceid_model,subject_text_model,subject_type_model,object_text_model,object_type_model,relation_model,trigger_text_model,_merge
12368048,title,1,transplant tolerance,Organism Function,nonhuman primate,Mammal,PROCESS_OF,in,transplant tolerance,nonhuman primate,,,,,,,,left_only
12641497,abstract,1,proton pump inhibitors,Pharmacologic Substance,rabeprazole,Pharmacologic Substance,COMPARED_WITH,comparing,proton pump inhibitors,rabeprazole,,,,,,,,left_only
14534673,title,1,AIDS,Disease or Syndrome,tuberculosis,Disease or Syndrome,COEXISTS_WITH,comorbidity,aids,tuberculosis,,,,,,,,left_only
14627806,abstract,9,mitomycin C,Antibiotic,alleles,Gene or Genome,AFFECTS,effect,mitomycin c,alleles,,,,,,,,left_only
15323262,abstract,9,mineral metabolism impairment,Pathologic Function,secondary hyperparathyroidism,Disease or Syndrome,CAUSES,develops as a result of,mineral metabolism impairment,secondary hyperparathyroidism,,,,,,,,left_only
15323262,abstract,9,hypocalemia,Finding,mineral metabolism impairment,Pathologic Function,ISA,especially,hypocalemia,mineral metabolism impairment,,,,,,,,left_only
15473914,title,1,pramipexole,Organic Chemical,dopamine transporter,Gene or Genome,INHIBITS,downregulates,pramipexole,dopamine transporter,,,,,,,,left_only
15473914,title,1,pramipexole,Organic Chemical,D3 receptor,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,via,pramipexole,d3 receptor,,,,,,,,left_only
15473914,title,1,Parkinson's disease,Disease or Syndrome,mouse,Mammal,PROCESS_OF,of,parkinsons disease,mouse,,,,,,,,left_only
15473914,title,1,MPTP,Organic Chemical,mouse,Mammal,ADMINISTERED_TO,,mptp,mouse,,,,,,,,left_only
15499973,abstract,1,dexamethasone injection,Clinical Drug,patients,Human,TREATS,for,dexamethasone injection,patients,,,,,,,,left_only
15592935,title,1,allergic,Pathologic Function,human,Human,PROCESS_OF,,allergic,human,,,,,,,,left_only
15592935,title,1,nasal mucosa,Tissue,heme oxygenase,"Amino Acid, Peptide, or Protein",LOCATION_OF,Localisation,nasal mucosa,heme oxygenase,,,,,,,,left_only
15592935,abstract,10,respiratory epithelium,Tissue,HO-1,"Amino Acid, Peptide, or Protein",LOCATION_OF,in,respiratory epithelium,ho-1,,,,,,,,left_only
15592935,abstract,10,respiratory epithelium,Tissue,nasal,"Body Part, Organ, or Organ Component",PART_OF,,respiratory epithelium,nasal,,,,,,,,left_only
15592935,abstract,10,respiratory epithelium,Tissue,group,Human,PART_OF,of,respiratory epithelium,group,,,,,,,,left_only
15601558,abstract,6,Patients,Finding,single brain lesion,Human,PROCESS_OF,with,patients,single brain lesion,,,,,,,,left_only
15601558,abstract,8,neurological symptoms,Sign or Symptom,patients,Human,PROCESS_OF,of,neurological symptoms,patients,,,,,,,,left_only
15601558,abstract,13,Myelosuppression,Disease or Syndrome,toxicity,Injury or Poisoning,ISA,was,myelosuppression,toxicity,,,,,,,,left_only
15601558,abstract,16,sequential treatments,Therapeutic or Preventive Procedure,patients,Human,TREATS,for,sequential treatments,patients,,,,,,,,left_only
15601558,abstract,16,sequential treatment,Therapeutic or Preventive Procedure,neurological symptoms,Sign or Symptom,TREATS,relieve,sequential treatment,neurological symptoms,,,,,,,,left_only
15601558,abstract,16,sequential treatment,Therapeutic or Preventive Procedure,metastatic lesions,Finding,TREATS,control,sequential treatment,metastatic lesions,,,,,,,,left_only
15623373,abstract,2,Primary HCC,Neoplastic Process,patients,Human,PROCESS_OF,,primary hcc,patients,,,,,,,,left_only
15623373,abstract,10,tissues,Tissue,Ki-67,"Amino Acid, Peptide, or Protein",PRODUCES,expression,tissues,ki-67,,,,,,,,left_only
15623373,abstract,10,tissues,Tissue,c-Myc,"Amino Acid, Peptide, or Protein",PRODUCES,expression,tissues,c-myc,,,,,,,,left_only
15623373,abstract,10,VEGF,"Amino Acid, Peptide, or Protein",tissues,Tissue,PART_OF,expressions,vegf,tissues,,,,,,,,left_only
15623373,abstract,10,resection,Therapeutic or Preventive Procedure,tumor,Neoplastic Process,TREATS,,resection,tumor,,,,,,,,left_only
15623373,abstract,10,resection,Therapeutic or Preventive Procedure,HCC,Neoplastic Process,PRECEDES,after,resection,hcc,,,,,,,,left_only
15623373,abstract,10,HCC,Neoplastic Process,their,Human,PROCESS_OF,,hcc,their,,,,,,,,left_only
15634358,title,1,genetics,Biologic Function,Caenorhabditis briggsae,Invertebrate,PROCESS_OF,in,genetics,caenorhabditis briggsae,,,,,,,,left_only
15676161,abstract,3,chest pain,Sign or Symptom,patients,Human,PROCESS_OF,experience,chest pain,patients,,,,,,,,left_only
15722357,abstract,3,bezafibrate,Pharmacologic Substance,I-FABP,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,binding,bezafibrate,i-fabp,,,,,,,,left_only
15722357,abstract,3,ibuprofen,Pharmacologic Substance,I-FABP,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,binding,ibuprofen,i-fabp,,,,,,,,left_only
15722357,abstract,3,ibuprofen,Pharmacologic Substance,drugs,Pharmacologic Substance,ISA,",",ibuprofen,drugs,,,,,,,,left_only
15722357,abstract,3,nitrazepam,Pharmacologic Substance,drugs,Pharmacologic Substance,ISA,",",nitrazepam,drugs,,,,,,,,left_only
15750263,abstract,1,FK-739,Organic Chemical,angiotensin II type 1 (AT1) receptor antagonist,Pharmacologic Substance,ISA,,fk-739,angiotensin ii type 1 at1 receptor antagonist,,,,,,,,left_only
15750263,abstract,1,FK-739,Organic Chemical,enalapril,Pharmacologic Substance,COMPARED_WITH,compared,fk-739,enalapril,,,,,,,,left_only
15750263,abstract,1,arteries,"Body Part, Organ, or Organ Component",Wistar-Kyoto rats,Mammal,PART_OF,from,arteries,wistar-kyoto rats,,,,,,,,left_only
15750263,abstract,1,arteries,"Body Part, Organ, or Organ Component",spontaneously hypertensive rats,Mammal,PART_OF,from,arteries,spontaneously hypertensive rats,,,,,,,,left_only
15750263,abstract,1,arteries,"Body Part, Organ, or Organ Component",smooth muscle (SM) cell,Cell,LOCATION_OF,in,arteries,smooth muscle sm cell,,,,,,,,left_only
15750263,abstract,1,enalapril,Pharmacologic Substance,smooth muscle (SM) cell,Cell,AFFECTS,effects,enalapril,smooth muscle sm cell,,,,,,,,left_only
15750263,abstract,1,FK-739,Organic Chemical,smooth muscle (SM) cell,Cell,AFFECTS,effects,fk-739,smooth muscle sm cell,,,,,,,,left_only
15750284,abstract,5,GH,"Amino Acid, Peptide, or Protein",B-lymphoid precursors,Cell,AFFECTS,stimulated the differentiation,gh,b-lymphoid precursors,,,,,,,,left_only
15750284,abstract,6,GH,"Amino Acid, Peptide, or Protein",B-lymphoid precursors,Cell,AFFECTS,modulate,gh,b-lymphoid precursors,,,,,,,,left_only
15750284,abstract,5,bone marrow stem cells,Cell,B-lymphoid precursors,Cell,LOCATION_OF,from,bone marrow stem cells,b-lymphoid precursors,,,,,,,,left_only
15750284,abstract,6,stem cells,Cell,mRNAs,Biologically Active Substance,LOCATION_OF,in,stem cells,mrnas,,,,,,,,left_only
15750284,abstract,6,stem cells,Cell,mRNAs,Biologically Active Substance,LOCATION_OF,in,stem cells,mrnas,,,,,,,,left_only
15750284,abstract,6,B-cell precursors,Cell,bone marrow,"Body Part, Organ, or Organ Component",PART_OF,in,b-cell precursors,bone marrow,,,,,,,,left_only
15750284,abstract,6,stem cells,Cell,bone marrow,"Body Part, Organ, or Organ Component",PART_OF,in,stem cells,bone marrow,,,,,,,,left_only
15750284,abstract,6,bone marrows,"Body Part, Organ, or Organ Component",B-lymphoid precursors,Cell,LOCATION_OF,in,bone marrows,b-lymphoid precursors,,,,,,,,left_only
15765262,title,1,Nicotine,Organic Chemical,conditioned place preferences,Mental Process,AUGMENTS,induces,nicotine,conditioned place preferences,,,,,,,,left_only
15776283,abstract,2,IFN-gamma,"Amino Acid, Peptide, or Protein",tumor,Neoplastic Process,PREDISPOSES,promotes,ifn,tumor,,,,,,,,left_only
15776283,abstract,2,hepatoma,Neoplastic Process,tumor,Neoplastic Process,ISA,including,hepatoma,tumor,,,,,,,,left_only
15776283,abstract,2,mammary adenocarcinoma,Neoplastic Process,tumor,Neoplastic Process,ISA,including,mammary adenocarcinoma,tumor,,,,,,,,left_only
15776283,abstract,2,B16 melanoma,Neoplastic Process,tumor,Neoplastic Process,ISA,including,b16 melanoma,tumor,,,,,,,,left_only
15790407,abstract,9,antibiotics,Antibiotic,interventions,Health Care Activity,ISA,were,antibiotics,interventions,,,,,,,,left_only
15790407,abstract,9,antibiotics,Antibiotic,interventions,Health Care Activity,ISA,were,antibiotics,interventions,,,,,,,,left_only
15790407,abstract,9,steroids,Steroid,interventions,Health Care Activity,ISA,were,steroids,interventions,,,,,,,,left_only
15790407,abstract,9,administration,Therapeutic or Preventive Procedure,interventions,Health Care Activity,ISA,were,administration,interventions,,,,,,,,left_only
15790407,abstract,9,therapies,Therapeutic or Preventive Procedure,intervention,Health Care Activity,ISA,were,therapies,intervention,,,,,,,,left_only
15790407,abstract,9,exercise,Daily or Recreational Activity,interventions,Health Care Activity,ISA,were,exercise,interventions,,,,,,,,left_only
15790407,abstract,9,pancreatic enzymes,Pharmacologic Substance,interventions,Health Care Activity,ISA,were,pancreatic enzymes,interventions,,,,,,,,left_only
15797093,abstract,1,right atrium,"Body Part, Organ, or Organ Component",epithelioid hemangioendothelioma,Neoplastic Process,LOCATION_OF,from,right atrium,epithelioid hemangioendothelioma,,,,,,,,left_only
