docid,section,sentenceid,subject_text,subject_type,object_text,object_type,relation
16733164,ab,2,glycoprotein IIb/IIIa,aapp,platelet function,celf,DISRUPTS
16733164,ab,4,analysis,resa,Coagulation,topp,USES
16733164,ab,4,analysis,resa,analyzer,medd,USES
16733164,ab,6,diphosphate,inch,platelet,cell,AUGMENTS
16733164,ab,7,tirofiban,orch,platelet,cell,DISRUPTS
16733164,ab,9,heparin,bacs,platelet,cell,DISRUPTS
16733164,ab,12,whole blood,bdsu,tirofiban,orch,LOCATION_OF
16733164,ab,12,tirofiban,orch,glycoprotein IIb/IIIa receptor,gngm,INHIBITS
15982867,ti,1,hepatoblastoma,neop,tumours,neop,ISA
15982867,ab,2,liver,bpoc,paediatric       epithelial liver tumours,neop,LOCATION_OF
15982867,ab,4,growth,orgf,hepatic tumours,neop,AFFECTS
16288225,ab,7,genes,gngm,apoptosis,celf,AFFECTS
16288225,ab,7,genes,gngm,T-cell activation,celf,AFFECTS
16709260,ab,5,individual,humn,seminal fluid,bdsu,LOCATION_OF
16709260,ab,5,seminal fluid,bdsu,proteins,aapp,LOCATION_OF
16709260,ab,7,seminal fluid,bdsu,proteome,aapp,LOCATION_OF
16709260,ab,8,glands,bpoc,proteins,aapp,LOCATION_OF
16709260,ab,9,proteins,aapp,fertilization,orgf,AFFECTS
16479855,ab,2,salivary gland disease,dsyn,patients,humn,PROCESS_OF
16479855,ab,3,general anaesthesia,topp,salivary calculi,patf,TREATS
16479855,ab,4,balloon dilatation,topp,guided,medd,USES
16479855,ab,4,balloon dilatation,topp,Strictures,anab,TREATS
16479855,ab,9,Balloon dilatation,topp,stricture,anab,TREATS
16097204,ti,1,Drug interactions,moft,patients,humn,PROCESS_OF
16097204,ab,1,general       surgery department,hcro,analysis,resa,LOCATION_OF
16097204,ab,12,beta-blockers,phsu,drugs,phsu,ISA
16097204,ab,12,benzodiazepines,orch,drugs,phsu,ISA
16097204,ab,12,diuretics,phsu,drugs,phsu,ISA
16097204,ab,12,enzyme       inhibitors,phsu,drugs,phsu,ISA
16097204,ab,12,inhibitors,chvf,drugs,phsu,ISA
16097204,ab,12,beta-blockers,phsu,angiotensin II,gngm,INHIBITS
16097204,ab,12,benzodiazepines,phsu,angiotensin II,gngm,INHIBITS
16097204,ab,12,diuretics,phsu,angiotensin II,gngm,INHIBITS
16097204,ab,12,enzyme       inhibitors,phsu,angiotensin II,gngm,INHIBITS
16097204,ab,19,drugs,phsu,patients,podg,TREATS
16531862,ti,1,spine,bpoc,fractures,inpo,LOCATION_OF
16531862,ti,1,acetabulum,bpoc,fractures,inpo,LOCATION_OF
16531862,ab,1,spine,bpoc,trauma,inpo,LOCATION_OF
16531862,ab,4,fractures,inpo,patients,humn,PROCESS_OF
16531862,ab,4,herniation,dsyn,patients,humn,PROCESS_OF
16531862,ab,4,spine injuries,inpo,patients,humn,PROCESS_OF
16531862,ab,6,fractures,inpo,patients,humn,PROCESS_OF
16531862,ab,7,spine fracture,inpo,patients,humn,PROCESS_OF
16531862,ab,7,diagnosis,hlca,patients,humn,TREATS
16531862,ab,9,spine injury,inpo,injury,inpo,ISA
16531862,ab,9,acetabulum,bpoc,fractures,inpo,LOCATION_OF
16531862,ab,9,fractures,inpo,patients,humn,PROCESS_OF
16531862,ab,9,injury,inpo,patients,humn,PROCESS_OF
16531862,ab,10,tomography,diap,computed,lbpr,USES
16531862,ab,10,acetabulum,bpoc,fractures,inpo,LOCATION_OF
16531862,ab,10,fractures,inpo,patients,humn,PROCESS_OF
16510729,ti,1,Dopamine D3 receptors,aapp,receptor function,moft,AFFECTS
16510729,ab,1,dopamine D3 receptor,aapp,nucleus accumbens,bpoc,AUGMENTS
16510729,ab,2,receptor activation,celf,neurons,cell,AFFECTS
16510729,ab,8,treatment,topp,cAMP,aapp,USES
16260962,ab,2,CFS,dsyn,patients,humn,PROCESS_OF
16260962,ab,2,performance,inbe,patients,humn,PROCESS_OF
16260962,ab,3,CFS,dsyn,patients,humn,PROCESS_OF
16260962,ab,5,RER,celc,protein kinase R,aapp,LOCATION_OF
16260962,ab,6,CFS,dsyn,patients,humn,PROCESS_OF
16260962,ab,6,performance,inbe,patients,humn,PROCESS_OF
17056862,ti,1,head injury,inpo,children,humn,PROCESS_OF
17056862,ab,2,head injury,inpo,patients,humn,PROCESS_OF
17056862,ab,7,head injury,inpo,children,humn,PROCESS_OF
17056862,ab,13,scanning,diap,children,humn,ADMINISTERED_TO
17056862,ab,14,head injuries,inpo,children,humn,PROCESS_OF
16296031,ti,1,tissues,tisu,bovine,mamm,PART_OF
16296031,ti,1,subcellular       fractions,celc,chalone,aapp,LOCATION_OF
16296031,ab,1,liver,bpoc,chalones,aapp,LOCATION_OF
16296031,ab,1,lymph       nodes,bpoc,chalones,aapp,LOCATION_OF
16296031,ab,1,spleen,bpoc,chalones,aapp,LOCATION_OF
16296031,ab,1,liver,bpoc,cattle,mamm,PART_OF
16296031,ab,1,lymph       nodes,bpoc,cattle,mamm,PART_OF
16296031,ab,1,spleen,bpoc,cattle,mamm,PART_OF
16296031,ab,2,cells,cell,organs,bpoc,PART_OF
16296031,ab,4,supernatants,bdsu,chalones,aapp,LOCATION_OF
16296031,ab,6,disc electrophoresis,lbpr,immunoelectrophoresis,lbpr,USES
16296031,ab,9,colcemide,phsu,control groups,humn,TREATS
16296031,ab,11,rough microsomes,celc,spleen,bpoc,PART_OF
16296031,ab,11,rough microsomes,celc,smooth microsomes,celc,PART_OF
16296031,ab,11,spleen,bpoc,lymph nodes,bpoc,PART_OF
16296031,ab,11,smooth microsomes,celc,lymph nodes,bpoc,PART_OF
16296031,ab,14,tissues,tisu,animals,anim,PART_OF
16296031,ab,15,supernatants,bdsu,proteins,aapp,LOCATION_OF
16296031,ab,16,blood serum,bdsu,proteins,aapp,LOCATION_OF
16296031,ab,17,serum proteins,aapp,bovine,mamm,PART_OF
16296031,ab,18,chalone,aapp,spleen,bpoc,PART_OF
16296031,ab,19,liver,bpoc,chalone,aapp,LOCATION_OF
16296031,ab,19,homologous proteins,aapp,cells,cell,PART_OF
16296031,ab,19,cells,cell,spleen,bpoc,PART_OF
